year,race_name,team,driver,dnf,dnf_reason
2024,Las Vegas Grand Prix,mclaren,NOR,False,Finished
2024,Las Vegas Grand Prix,mclaren,PIA,False,Finished
2024,Las Vegas Grand Prix,mercedes,HAM,False,Finished
2024,Las Vegas Grand Prix,mercedes,RUS,False,Finished
2024,Las Vegas Grand Prix,rb,LAW,False,Finished
2024,Las Vegas Grand Prix,rb,TSU,False,Finished
2024,Las Vegas Grand Prix,red_bull,PER,False,Finished
2024,Las Vegas Grand Prix,red_bull,VER,False,Finished
2024,Las Vegas Grand Prix,sauber,BOT,True,Lapped
2024,Las Vegas Grand Prix,sauber,ZHO,False,Finished
2024,Las Vegas Grand Prix,williams,ALB,True,Retired
2024,Las Vegas Grand Prix,williams,COL,False,Finished
2024,Mexico City Grand Prix,alpine,GAS,True,Lapped
2024,Mexico City Grand Prix,alpine,OCO,True,Lapped
2024,Mexico City Grand Prix,aston_martin,ALO,True,Retired
2024,Mexico City Grand Prix,aston_martin,STR,True,Lapped
2024,Mexico City Grand Prix,ferrari,LEC,False,Finished
2024,Mexico City Grand Prix,ferrari,SAI,False,Finished
2024,Mexico City Grand Prix,haas,HUL,True,Lapped
2024,Mexico City Grand Prix,haas,MAG,False,Finished
2024,Mexico City Grand Prix,mclaren,NOR,False,Finished
2024,Mexico City Grand Prix,mclaren,PIA,False,Finished
2024,Mexico City Grand Prix,mercedes,HAM,False,Finished
2024,Mexico City Grand Prix,mercedes,RUS,False,Finished
2024,Mexico City Grand Prix,rb,LAW,True,Lapped
2024,Mexico City Grand Prix,rb,TSU,True,Retired
2024,Mexico City Grand Prix,red_bull,PER,True,Lapped
2024,Mexico City Grand Prix,red_bull,VER,False,Finished
2024,Mexico City Grand Prix,sauber,BOT,True,Lapped
2024,Mexico City Grand Prix,sauber,ZHO,True,Lapped
2024,Mexico City Grand Prix,williams,ALB,True,Retired
2024,Mexico City Grand Prix,williams,COL,True,Lapped
2024,Miami Grand Prix,alpine,GAS,False,Finished
2024,Miami Grand Prix,alpine,OCO,False,Finished
2024,Miami Grand Prix,aston_martin,ALO,False,Finished
2024,Miami Grand Prix,aston_martin,STR,False,Finished
