season,driver,race_name,round,circuit_type,team,fp1_pos,fp2_pos,fp3_pos,sprint_qualifying_pos,sprint_race_pos,qualifying_pos,race_pos,race_dnf_status,race_classified_position,weighted_performance_score
2024,ALO,Silverstone,12,Permanent,Aston Martin,6.0,11.0,8.0,,,,,,,6.0
2024,BOT,Silverstone,12,Permanent,Sauber,12.0,12.0,15.0,,,,,Lapped,15,9.600000000000001
2024,HAM,Silverstone,12,Permanent,Mercedes,7.0,6.0,2.0,,,,,,,2.7
2024,HUL,Silverstone,12,Permanent,Haas,11.0,4.0,10.0,,,,,,,5.9
2024,LEC,Silverstone,12,Permanent,Ferrari,8.0,5.0,6.0,,,,,Lapped,14,4.2
2024,MAG,Silverstone,12,Permanent,Haas,,20.0,17.0,,,,,,,10.8
2024,NOR,Silverstone,12,Permanent,McLaren,1.0,1.0,3.0,,,,,,,1.5000000000000002
2024,OCO,Silverstone,12,Permanent,Alpine,10.0,15.0,16.0,,,,,Lapped,16,10.4
2024,PER,Silverstone,12,Permanent,Red Bull,,3.0,9.0,,,,,Lapped,17,4.2
2024,PIA,Silverstone,12,Permanent,McLaren,3.0,2.0,7.0,,,,,,,3.5000000000000004
2024,RIC,Silverstone,12,Permanent,RB,13.0,19.0,18.0,,,,,Lapped,13,12.3
2024,RUS,Silverstone,12,Permanent,Mercedes,5.0,10.0,1.0,,,,,Retired,R,2.9
2024,SAI,Silverstone,12,Permanent,Ferrari,9.0,8.0,4.0,,,,,,,4.1
2024,SAR,Silverstone,12,Permanent,Williams,,17.0,13.0,,,,,,,8.600000000000001
2024,STR,Silverstone,12,Permanent,Aston Martin,2.0,9.0,12.0,,,,,,,6.800000000000001
2024,TSU,Silverstone,12,Permanent,RB,20.0,16.0,14.0,,,,,,,10.8
2024,VER,Silverstone,12,Permanent,Red Bull,4.0,7.0,5.0,,,,,,,3.8000000000000003
2024,ZHO,Silverstone,12,Permanent,Sauber,15.0,18.0,19.0,,,,,Lapped,18,12.7
2024,ALB,Hungaroring,13,Permanent,Williams,14.0,9.0,7.0,,,,,Lapped,14,6.0
2024,ALO,Hungaroring,13,Permanent,Aston Martin,13.0,10.0,14.0,,,,,,,8.9
2024,BOT,Hungaroring,13,Permanent,Sauber,15.0,11.0,12.0,,,,,Lapped,16,8.5
