season,race_name,round,circuit_type,team,avg_race_pace,clean_air_avg_race_pace,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2024,Las Vegas,22,Street,Alpine,100.80114516129031,101.70892978723403,361.0,35.166666666666664,8.0,1.0,7.0,10.333333333333334,1,3,2,-5.062800000000028,0.3516010101010085,-0.48759247994652116,-16.921999999999997,4.000666666666665,-9.034000000000006,68.74872183166796,219.51986972734804,0.7258064516129032,3.6444168350168353,0.9077846259437194
2024,Las Vegas,22,Street,Aston Martin,99.7825,100.99851588911427,365.0,24.833333333333332,5.0,4.0,1.0,16.333333333333332,1,1,4,2.268500000000018,0.1439761904761943,-0.2173469724440319,4.537000000000006,2.530000000000001,-16.65775,65.45459067445728,221.0078259395734,0.5408163265306123,3.4821586458132514,1.2160158891142743
2024,Las Vegas,22,Street,Ferrari,98.6676836734694,99.76109444444444,366.0,23.666666666666668,3.0,5.0,-2.0,16.333333333333332,0,2,4,,0.778140476190476,-0.24236767271293624,,7.654500000000006,-14.114999999999998,69.15145958160564,223.7092879697115,0.7040816326530612,2.846214015151515,1.0934107709750407
2024,Las Vegas,22,Street,Haas,99.59448979591836,99.67616738945578,359.0,26.2,10.0,3.0,7.0,19.6,0,2,3,,0.30194517614738364,-0.24765456578165448,,5.8035,-16.689666666666664,66.78697031518188,222.27958605306318,0.6632653061224489,2.8059158152734778,0.08167759353742099
2024,Las Vegas,22,Street,McLaren,99.30064285714286,99.30890130315501,367.0,20.714285714285715,2.0,10.0,-8.0,14.0,1,2,4,-17.435999999999993,0.5339797619047602,-0.25813936426189943,-17.435999999999993,5.134,-13.731249999999996,66.0973641685885,222.48340342008805,0.46938775510204084,8.163700918367349,0.008258446012149534
2024,Las Vegas,22,Street,Mercedes,98.43742857142857,103.67632440191387,364.0,23.666666666666668,7.0,5.0,2.0,16.333333333333332,0,2,4,,0.1750195804195833,-0.2604967337111673,,3.801000000000002,-13.561,69.42091669288966,224.91388773898038,0.7755102040816326,1.7215255003450656,5.238895830485305
2024,Las Vegas,22,Street,RB,99.85733673469387,99.51517263986013,365.0,23.666666666666668,5.0,5.0,0.0,16.333333333333332,0,2,4,,0.514083333333333,-0.3075853941380254,,6.103499999999997,-14.42925,67.73161537455013,221.2869906023655,0.5918367346938775,4.1384717672759335,-0.3421640948337483
2024,Las Vegas,22,Street,Red Bull,99.1063775510204,99.61657689631795,366.0,23.5,3.0,8.0,-5.0,16.333333333333332,0,2,4,,0.00917072510823047,-0.1629144963992439,,-4.149000000000001,-9.945249999999998,65.73428819788522,222.8913417486892,0.6224489795918368,3.5934765993266,0.5101993452975506
2024,Las Vegas,22,Street,Sauber,100.12392783505153,99.64029045383411,360.0,22.333333333333332,9.0,9.0,0.0,16.166666666666668,0,2,4,,0.1927519842386761,-0.2133955828059417,,-0.8940000000000055,-11.266249999999996,67.2013930247041,220.71773756837982,0.6288659793814433,4.354071333678399,-0.48363738121742017
2024,Las Vegas,22,Street,Williams,100.06015068493151,100.89555714285714,369.0,26.4,1.0,2.0,-1.0,14.6,0,2,3,,-0.3502095238095249,-0.023387920472536072,,-5.411999999999998,-5.406333333333336,63.3129446540917,220.799941752277,0.6986301369863014,1.99421,0.8354064579256288
2024,Lusail,23,Permanent,Alpine,95.55701785714284,89.15898608534323,332.0,28.551388799999998,4.0,4.0,0.0,14.0,0,1,3,,-0.7057121466768526,-0.9625125313283225,,-32.30999999999999,-20.883666666666667,67.48865432565178,204.18312958246074,0.6428571428571429,8.55805,-6.398031771799609
