# x_m,y_m,w_tr_right_m,w_tr_left_m
-2055.631088,4950.927803,7.500000,7.500000
-1998.354560,4933.689237,7.500000,7.500000
-1941.078033,4916.450670,7.500000,7.500000
-1882.508743,4907.750072,7.500000,7.500000
-1822.696299,4907.259806,7.500000,7.500000
-1763.513246,4912.920224,7.500000,7.500000
-1705.039726,4925.514521,7.500000,7.500000
-1647.826654,4941.667990,7.500000,7.500000
-1594.459401,4968.681044,7.500000,7.500000
-1541.092148,4995.694098,7.500000,7.500000
-1489.625489,5025.474558,7.500000,7.500000
-1445.254117,5065.586278,7.500000,7.500000
-1400.882745,5105.697999,7.500000,7.500000
-1360.507442,5149.332620,7.500000,7.500000
-1326.274721,5198.382489,7.500000,7.500000
-1296.366575,5249.875049,7.500000,7.500000
-1272.031029,5304.515236,7.500000,7.500000
-1250.565782,5360.110561,7.500000,7.500000
-1237.309636,5418.437600,7.500000,7.500000
-1226.872739,5477.218060,7.500000,7.500000
-1221.171894,5536.760223,7.500000,7.500000
-1219.755061,5596.518071,7.500000,7.500000
-1219.446744,5656.331730,7.500000,7.500000
-1219.138426,5716.145388,7.500000,7.500000
-1219.803651,5775.949685,7.500000,7.500000
-1221.262106,5835.746355,7.500000,7.500000
-1222.853126,5895.539494,7.500000,7.500000
-1224.579899,5955.329016,7.500000,7.500000
-1226.306673,6015.118539,7.500000,7.500000
-1228.033446,6074.908062,7.500000,7.500000
-1229.760219,6134.697585,7.500000,7.500000
-1231.365278,6194.490479,7.500000,7.500000
-1232.950710,6254.283917,7.500000,7.500000
-1234.536142,6314.077355,7.500000,7.500000
-1236.121574,6373.870793,7.500000,7.500000
-1237.546475,6433.668003,7.500000,7.500000
-1238.771924,6493.469902,7.500000,7.500000
-1239.997373,6553.271801,7.500000,7.500000
-1241.222822,6613.073699,7.500000,7.500000
-1241.687458,6672.877958,7.500000,7.500000
-1240.579102,6732.679919,7.500000,7.500000
-1238.425024,6792.455573,7.500000,7.500000
-1234.078600,6852.032460,7.500000,7.500000
-1225.446962,6911.220834,7.500000,7.500000
-1216.815324,6970.409208,7.500000,7.500000
-1207.350334,7029.410905,7.500000,7.500000
-1189.906898,7086.625373,7.500000,7.500000
-1172.463463,7143.839841,7.500000,7.500000
-1153.430950,7200.459569,7.500000,7.500000
-1129.022901,7255.067407,7.500000,7.500000
-1104.614853,7309.675245,7.500000,7.500000
-1076.338089,7362.342366,7.500000,7.500000
-1047.159322,7414.557003,7.500000,7.500000
-1013.757251,7464.134714,7.500000,7.500000
-979.653084,7513.274052,7.500000,7.500000
-945.086043,7562.066032,7.500000,7.500000
-907.435351,7608.543921,7.500000,7.500000
-869.784658,7655.021810,7.500000,7.500000
